ProjectCode,ProjectName,ProjectType,Status,TotalRiskScore,RiskLevel,FinancialRisk,EfficiencyRisk,ComplexityRisk,TimelineRisk,IsHighRisk,IsAnomaly
ISS24086-SZ06,深圳龙岗金荣达4栋5层MAG华为BPIT绿区ODC场地光纤改造项目,ISS,Unknown,20.902122641509436,Low,29.599056603773583,33.089622641509436,0.0,25,False,False
ISS24087-WH06,武汉东湖高新区未来科技城F3栋6层ODC场地AP升级改造项目 ,ISS,Unknown,31.21816037735849,Low,63.985849056603776,33.089622641509436,0.0,25,False,False
ISS24088-JN06,济南历下区平安金融中心8层803-804单元MAG华为业务专属场地扩建项目,ISS,Unknown,41.42570754716981,Medium,65.0943396226415,56.62735849056604,12.452830188679245,35,False,False
ISS24089-WH06,武汉洪山李桥创意大厦13-14层INT场地退租项目,ISS,Unknown,22.628537735849058,Low,35.35377358490566,33.089622641509436,0.0,25,False,False
ISS24090-CD06,成都武侯区西部智谷3层DOS场地网络改造项目,ISS,Unknown,22.541273584905657,Low,43.06603773584905,19.693396226415096,23.490566037735846,0,False,False
ISS24093-WH06,武汉东湖高新区光谷信息城软件新城2期C15栋5层场地退租改造项目,ISS,Unknown,31.61438679245283,Low,65.30660377358491,33.089622641509436,0.0,25,False,False
ISS24094-BJ06,北京市经济技术开发区科谷一街8号院8号楼19层综合场地局部退租项目,ISS,Unknown,29.944575471698116,Low,59.74056603773585,33.089622641509436,0.0,25,False,False
ISS24095-NJ06,南京江宁天域互联D1栋2层、5层、6层及7层MAG华为业务ODC场地门禁改造项目,ISS,Unknown,34.31721698113208,Low,74.31603773584905,33.089622641509436,0.0,25,False,False
ISS24097-NJ06,南京江宁天域互联D2栋3层及5层MAG华为业务ODC场地门禁改造项目,ISS,Unknown,24.753537735849058,Low,51.69811320754717,18.183962264150946,23.490566037735846,0,False,False
ISS24098-NJ06,南京雨花区怡化大厦D栋4层MAG华为业务ODC场地门禁改造项目,ISS,Unknown,41.867924528301884,Medium,77.59433962264151,55.56603773584906,23.490566037735846,0,False,False
